"PL"	"MEAN"	"SD"	"ELOM"	"ELOS"	"FULL"
9	-0.593	0.168	297	29.3	"A T Zidane"
51	-0.491	0.207	315	36	"A S Allende-Rojas"
92	-0.421	0.183	327	31.7	"A R Richards"
28	-0.295	0.208	349	36.1	"A P Hansford"
172	-0.275	0.197	352	34.2	"A O Bose"
159	-0.235	0.138	359	24	"A Q Forest"
127	-0.212	0.195	363	33.9	"A L Corraya"
182	-0.197	0.194	366	33.8	"A N Cabrera-West"
67	-0.194	0.151	366	26.3	"A M Craig"
99	-0.177	0.149	369	25.8	"A K McDowell"
154	-0.141	0.194	375	33.7	"A J Ayland"
19	-0.121	0.22	379	38.3	"A I Toribio"
146	-0.098	0.119	383	20.6	"A D Jenkins"
69	-0.09	0.168	384	29.1	"A G Telford"
151	-0.056	0.221	390	38.4	"A B Cornall"
176	-0.056	0.244	390	42.3	"A F Graham"
137	-0.048	0.188	392	32.6	"A E Dimitriadis"
163	-0.04	0.214	393	37.3	"A A Win"
4	-0.037	0.151	394	26.3	"A H Dobson"
109	-0.006	0.208	399	36.2	"A C Dizdarevic"
140	0.017	0.191	403	33.1	"Y Braithwaite"
149	0.028	0.183	405	31.7	"X Liang"
174	0.035	0.155	406	27	"Z Ritchie"
123	0.042	0.182	407	31.6	"U Vaughan"
114	0.058	0.191	410	33.1	"V Maunder"
191	0.066	0.226	411	39.3	"T Bettencourt"
66	0.074	0.119	413	20.7	"W Davis"
110	0.08	0.221	414	38.5	"R Hannache"
47	0.092	0.138	416	24	"S Pfyffer"
38	0.138	0.22	424	38.2	"Q Siebein"
25	0.166	0.217	429	37.7	"P Ho"
170	0.187	0.165	432	28.6	"O Klemperer"
175	0.192	0.139	433	24.2	"E Robson"
7	0.214	0.168	437	29.3	"D Parish"
53	0.234	0.137	441	23.8	"N Wilson"
147	0.241	0.195	442	33.9	"L Kheng"
54	0.257	0.177	445	30.7	"J Johnston"
101	0.259	0.129	445	22.5	"I Duffy"
185	0.261	0.213	445	36.9	"M Raine"
78	0.318	0.126	455	21.8	"H Sullivan"
61	0.332	0.222	458	38.6	"G Voltolini"
70	0.355	0.175	462	30.3	"F Danish"
81	0.382	0.213	466	37	"C Ree"
46	0.414	0.181	472	31.4	"B Serik"
139	0.614	0.177	507	30.8	"A Dropper"
